position_group,feature,estimate,ci_lower,ci_upper,sample_size,training_window,heuristic_version,model_version
RB,Ht_z,-0.043358996622825934,-0.14115930658624612,0.04852311650855499,462,min-max,v1.0.0,v1.0.0
RB,Wt_z,0.12110999656415705,-0.0034522219208965445,0.2499604076594002,462,min-max,v1.0.0,v1.0.0
RB,40yd_missing,-0.7506336545914791,-1.0822168854819325,-0.3853835617832638,462,min-max,v1.0.0,v1.0.0
RB,Vertical_missing,0.2019002015557752,-0.1859105571082092,0.5590276857789929,462,min-max,v1.0.0,v1.0.0
RB,Bench_missing,-0.0020483433983146697,-0.18887739075183654,0.16388055288110837,462,min-max,v1.0.0,v1.0.0
RB,Broad Jump_missing,0.08232059758109937,-0.24018055152657242,0.4125233387993557,462,min-max,v1.0.0,v1.0.0
RB,3Cone_missing,-0.35336055958751206,-0.6372290812940384,-0.12153011336540977,462,min-max,v1.0.0,v1.0.0
RB,Shuttle_missing,0.1672580491967079,-0.07814446129717893,0.4214031203062003,462,min-max,v1.0.0,v1.0.0
RB,Ht_missing,-0.06914416613286664,-0.5380556067533439,0.31952300035621894,462,min-max,v1.0.0,v1.0.0
RB,Wt_missing,-0.5129578193634834,-0.7992693235737803,0.0,462,min-max,v1.0.0,v1.0.0
ST,intercept,3.949380285991836,2.5611755761322286,5.067869897606582,80,min-max,v1.0.0,v1.0.0
ST,40yd_z,0.13920057230876237,-0.1287830420066264,0.3998738843528268,80,min-max,v1.0.0,v1.0.0
ST,Vertical_z,0.21085200566479134,-0.14020332689398776,0.3481531711127,80,min-max,v1.0.0,v1.0.0
ST,Bench_z,0.056818578739187275,-0.11944299441997805,0.6795101164582268,80,min-max,v1.0.0,v1.0.0
ST,Broad Jump_z,0.040911648107652354,-0.20388042221844963,0.3936382974535331,80,min-max,v1.0.0,v1.0.0
ST,3Cone_z,0.084596505758892,-0.21588502957550756,0.30953295632707073,80,min-max,v1.0.0,v1.0.0
ST,Shuttle_z,-0.04038178713008378,-0.3077487453884903,0.17653350608526147,80,min-max,v1.0.0,v1.0.0
ST,Ht_z,-0.010569185062229813,-0.38004628537827223,0.28670842863092233,80,min-max,v1.0.0,v1.0.0
ST,Wt_z,0.25137078125870316,0.03108377940158661,0.4858954801621959,80,min-max,v1.0.0,v1.0.0
ST,40yd_missing,-0.1547548470208011,-0.5103189861347278,0.26077062769054654,80,min-max,v1.0.0,v1.0.0
