position_group,metric,estimate,ci_low,ci_high
OTHER,Wt,0.3052991307021486,0.0151533107245336,0.5983777633360453
QB,3Cone,-0.0361493711894108,-0.1951728282963774,0.1630643536789976
QB,40yd,0.0076265732862697,-0.2042907379832492,0.2010165252548596
QB,Bench,0.0618801127456558,-0.0689276109745012,0.2972403600769233
QB,Broad Jump,0.3587606487032295,0.1049867197522753,0.5722493514280019
QB,Ht,-0.0336349568924889,-0.2185662965288357,0.1796279759589206
QB,Shuttle,0.1084767779722861,-0.0641162269046572,0.285901801669475
QB,Vertical,-0.2009795801958388,-0.4410640142265563,0.033304834950534
QB,Wt,0.0932650295478851,-0.0720037465488958,0.3008067914694213
RB,3Cone,0.0452184194924079,-0.0699384215694851,0.1693684978704654
RB,40yd,0.1204437783316136,0.0134440779001351,0.2488703866694798
RB,Bench,0.0393199175160778,-0.048321050778094,0.1086677157254443
RB,Broad Jump,0.0326056174753171,-0.0677666038105702,0.1504084616433978
RB,Ht,-0.0433589966228259,-0.1411593065862461,0.0485231165085549
RB,Shuttle,-0.0576977431829307,-0.1455662465010624,0.0356256621433045
RB,Vertical,-0.0153684749511661,-0.1255679927356414,0.079137957749482
RB,Wt,0.121109996564157,-0.0034522219208965,0.2499604076594002
ST,3Cone,0.084596505758892,-0.2158850295755075,0.3095329563270707
ST,40yd,0.1392005723087623,-0.1287830420066264,0.3998738843528268
ST,Bench,0.0568185787391872,-0.119442994419978,0.6795101164582268
ST,Broad Jump,0.0409116481076523,-0.2038804222184496,0.3936382974535331
ST,Ht,-0.0105691850622298,-0.3800462853782722,0.2867084286309223
ST,Shuttle,-0.0403817871300837,-0.3077487453884903,0.1765335060852614
ST,Vertical,0.2108520056647913,-0.1402033268939877,0.3481531711127
ST,Wt,0.2513707812587031,0.0310837794015866,0.4858954801621959
TE,3Cone,0.0800777339639153,-0.0321494769056036,0.2050055068187043
TE,40yd,0.1295024743401854,0.0190391719951977,0.2511875703548519
TE,Bench,0.0278935647687659,-0.0765811035337269,0.128264477055582
TE,Broad Jump,-0.0995499810712585,-0.2200742648609809,0.0150534495797092
TE,Ht,0.0454653840004023,-0.0622686325061365,0.1456170729043449
TE,Shuttle,0.010640338245573,-0.090228759963721,0.1034038233165019
TE,Vertical,0.0625556120818131,-0.047431047145263,0.1668993815289897
TE,Wt,0.1062558025799384,-0.0219410001133484,0.2120872300255862
WR,3Cone,0.0246686072860452,-0.0525778226324501,0.1001139624216885
WR,40yd,0.048967521558345,-0.0278533612646114,0.1254806169307413
WR,Bench,-0.0140585410133556,-0.0724714397878158,0.041127066267372
WR,Broad Jump,-0.0768896263409301,-0.1684896781712495,0.0069475164495763
WR,Ht,-0.0215496053198512,-0.1293436142464509,0.0722735177183559
WR,Shuttle,0.080556820223828,0.0173841054977448,0.1474622507467299
WR,Vertical,0.0989551705775459,0.017979228795756,0.1897129603989178
WR,Wt,0.101224965050988,0.0051765772816215,0.2034999778458217
