athlete_id,player_name,row_index,id_column,id_value,reason
2210,JaJuan Dawson,,NFL_id,2210,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2210/stats?region=us&lang=en&contentorigin=espn
2142,Ron Dayne,,NFL_id,2142,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2142/stats?region=us&lang=en&contentorigin=espn
2229,Na'il Diggs,,NFL_id,2229,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2229/stats?region=us&lang=en&contentorigin=espn
2212,Reuben Droughns,,NFL_id,2212,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2212/stats?region=us&lang=en&contentorigin=espn
2197,Ron Dugans,,NFL_id,2197,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2197/stats?region=us&lang=en&contentorigin=espn
2248,Deon Dyer,,NFL_id,2248,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2248/stats?region=us&lang=en&contentorigin=espn
2311,Mario Edwards,,NFL_id,2311,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2311/stats?region=us&lang=en&contentorigin=espn
2143,Shaun Ellis,,NFL_id,2143,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2143/stats?region=us&lang=en&contentorigin=espn
2166,John Engelberger,,NFL_id,2166,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2166/stats?region=us&lang=en&contentorigin=espn
2234,Danny Farmer,,NFL_id,2234,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2234/stats?region=us&lang=en&contentorigin=espn
2157,Erik Flowers,,NFL_id,2157,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2157/stats?region=us&lang=en&contentorigin=espn
2145,Bubba Franks,,NFL_id,2145,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2145/stats?region=us&lang=en&contentorigin=espn
2276,Todd Franz,,NFL_id,2276,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2276/stats?region=us&lang=en&contentorigin=espn
2283,Arturo Freeman,,NFL_id,2283,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2283/stats?region=us&lang=en&contentorigin=espn
2224,Byron Frisch,,NFL_id,2224,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2224/stats?region=us&lang=en&contentorigin=espn
2358,Mondriel Fulcher,,NFL_id,2358,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2358/stats?region=us&lang=en&contentorigin=espn
2242,Trevor Gaylor,,NFL_id,2242,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2242/stats?region=us&lang=en&contentorigin=espn
2280,Kabeer Gbaja-Biamila,,NFL_id,2280,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2280/stats?region=us&lang=en&contentorigin=espn
2171,Ian Gold,,NFL_id,2171,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2171/stats?region=us&lang=en&contentorigin=espn
2180,Dwayne Goodrich,,NFL_id,2180,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2180/stats?region=us&lang=en&contentorigin=espn
2188,Deon Grant,,NFL_id,2188,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2188/stats?region=us&lang=en&contentorigin=espn
2298,Ernest Grant,,NFL_id,2298,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2298/stats?region=us&lang=en&contentorigin=espn
2181,Barrett Green,,NFL_id,2181,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2181/stats?region=us&lang=en&contentorigin=espn
2344,Mike Green,,NFL_id,2344,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2344/stats?region=us&lang=en&contentorigin=espn
2173,Cornelius Griffin,,NFL_id,2173,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2173/stats?region=us&lang=en&contentorigin=espn
2268,Clark Haggans,,NFL_id,2268,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2268/stats?region=us&lang=en&contentorigin=espn
2318,Antwan Harris,,NFL_id,2318,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2318/stats?region=us&lang=en&contentorigin=espn
2195,Lloyd Harrison,,NFL_id,2195,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2195/stats?region=us&lang=en&contentorigin=espn
2274,Windrell Hayes,,NFL_id,2274,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2274/stats?region=us&lang=en&contentorigin=espn
2156,Chris Hovan,,NFL_id,2156,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2156/stats?region=us&lang=en&contentorigin=espn
2164,Darren Howard,,NFL_id,2164,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2164/stats?region=us&lang=en&contentorigin=espn
2333,Todd Husak,,NFL_id,2333,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2333/stats?region=us&lang=en&contentorigin=espn
2238,Junior Ioane,,NFL_id,2238,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2238/stats?region=us&lang=en&contentorigin=espn
2307,Jabari Issa,,NFL_id,2307,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2307/stats?region=us&lang=en&contentorigin=espn
2211,Darrell Jackson,,NFL_id,2211,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2211/stats?region=us&lang=en&contentorigin=espn
2345,Jarious Jackson,,NFL_id,2345,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2345/stats?region=us&lang=en&contentorigin=espn
2313,Jeno James,,NFL_id,2313,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2313/stats?region=us&lang=en&contentorigin=espn
2148,Sebastian Janikowski,,NFL_id,2148,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2148/stats?region=us&lang=en&contentorigin=espn
2773,Eric Johnson,,NFL_id,2773,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2773/stats?region=us&lang=en&contentorigin=espn
2232,Jerry Johnson,,NFL_id,2232,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2232/stats?region=us&lang=en&contentorigin=espn
2308,Dhani Jones,,NFL_id,2308,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2308/stats?region=us&lang=en&contentorigin=espn
2138,Thomas Jones,,NFL_id,2138,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2138/stats?region=us&lang=en&contentorigin=espn
